Sub-menu name,Track name,Race date,Race number,Number of Starters,Post Time,Distance,Class,Prize Money
,Riccarton Park Form Guide | Today,2025-08-09,1,5,19:25,1 ¹⁵⁄₁₆ m,HCP0-1,"$23,669"
,Riccarton Park Form Guide | Today,2025-08-09,2,7,20:00,2 ⅝ m,OHDL,"$59,174"
,Riccarton Park Form Guide | Today,2025-08-09,3,9,20:35,6 f,BM75,"$20,710"
,Riccarton Park Form Guide | Today,2025-08-09,4,8,21:10,1 ¼ m,BM75,"$20,710"
,Riccarton Park Form Guide | Today,2025-08-09,5,9,21:47,1 m,BM75,"$20,710"
,Riccarton Park Form Guide | Today,2025-08-09,6,7,22:22,3 ½ m,OSTPL,"$118,348"
,Riccarton Park Form Guide | Today,2025-08-09,7,8,23:02,7 f,OPEN,"$26,628"
,Riccarton Park Form Guide | Today,2025-08-09,8,13,23:37,7 f,BM65,"$20,710"
,Riccarton Park Form Guide | Today,2025-08-09,9,11,12:12,1 ⅛ m,OPEN,"$26,628"
,Riccarton Park Form Guide | Today,2025-08-09,10,18,12:46,1 ⅛ m,BM65,"$20,710"
,Te Rapa Form Guide | Today,2025-08-09,1,11,20:20,6 ½ f,MDN,"$11,835"
,Te Rapa Form Guide | Today,2025-08-09,2,9,20:52,6 f,BM65,"$20,710"
,Te Rapa Form Guide | Today,2025-08-09,3,14,21:24,1 m,BM65,"$20,710"
,Te Rapa Form Guide | Today,2025-08-09,4,13,21:59,1 ⁵⁄₁₆ m,MDN,"$11,835"
,Te Rapa Form Guide | Today,2025-08-09,5,13,22:35,1 ⁵⁄₁₆ m,BM75,"$20,710"
,Te Rapa Form Guide | Today,2025-08-09,6,9,23:10,1 m,OPEN,"$23,669"
,Te Rapa Form Guide | Today,2025-08-09,7,8,23:45,6 f,OPEN,"$23,669"
,Te Rapa Form Guide | Today,2025-08-09,8,11,12:20,7 f,BM75,"$20,710"
,Hawera Form Guide,2025-08-10,1,5,20:24,1 ⁵⁄₁₆ m,OPEN,"$13,018"
,Hawera Form Guide,2025-08-10,2,12,20:57,1 ⁵⁄₁₆ m,MDN,"$10,059"
,Hawera Form Guide,2025-08-10,3,12,21:28,6 f,MDN,"$10,059"
,Hawera Form Guide,2025-08-10,4,9,22:05,7 f,MDN,"$10,059"
,Hawera Form Guide,2025-08-10,5,11,22:44,1 m,MDN,"$10,059"
,Hawera Form Guide,2025-08-10,6,10,23:22,1 m,BM75,"$10,059"
,Hawera Form Guide,2025-08-10,7,10,23:54,1 m,BM65,"$10,059"
,Seoul Form Guide,2025-08-02,1,11,21:35,5 f,COND A C6,"$32,773"
,Seoul Form Guide,2025-08-02,2,11,22:10,6 f,COND A C6,"$21,848"
,Seoul Form Guide,2025-08-02,3,11,23:15,6 f,HCP C5,"$32,773"
,Seoul Form Guide,2025-08-02,4,9,12:25,7 f,HCP C5,"$32,773"
,Seoul Form Guide,2025-08-02,5,9,13:30,7 f,HCP C4,"$43,698"
,Seoul Form Guide,2025-08-02,6,9,14:40,7 f,HCP C4,"$43,698"
,Seoul Form Guide,2025-08-02,7,9,15:50,1 ⅛ m,HCP C3,"$54,623"
,Seoul Form Guide,2025-08-02,8,10,16:25,6 f,HCP C3,"$54,623"
,Seoul Form Guide,2025-08-02,9,9,17:00,1 m,HCP C2,"$65,547"
,Busan Form Guide,2025-08-02,1,11,22:35,6 f,COND A C6,"$21,848"
,Busan Form Guide,2025-08-02,2,11,23:55,6 ½ f,COND A C6,"$21,848"
,Busan Form Guide,2025-08-02,3,11,12:55,7 f,HCP C5,"$32,773"
,Busan Form Guide,2025-08-02,4,11,14:05,1 ⅛ m,HCP C4,"$43,698"
,Busan Form Guide,2025-08-02,5,9,15:15,6 f,COND B C1,"$80,114"
,Seoul Form Guide,2025-08-03,1,12,21:35,6 f,COND A C6,"$32,331"
,Seoul Form Guide,2025-08-03,2,11,22:05,6 f,COND A C6,"$21,553"
,Seoul Form Guide,2025-08-03,3,11,22:35,6 ½ f,COND A C6,"$21,553"
,Seoul Form Guide,2025-08-03,4,9,23:20,6 ½ f,HCP C5,"$32,331"
,Seoul Form Guide,2025-08-03,5,8,23:55,6 f,HCP C5,"$32,331"
,Seoul Form Guide,2025-08-03,6,8,12:25,1 ¹⁄₁₆ m,HCP C5,"$32,331"
,Seoul Form Guide,2025-08-03,7,8,12:55,1 ¹⁄₁₆ m,HCP C5,"$32,331"
,Seoul Form Guide,2025-08-03,8,9,13:30,1 ¹⁄₁₆ m,HCP C4,"$43,108"
,Seoul Form Guide,2025-08-03,9,11,14:05,6 f,HCP C4,"$43,108"
,Seoul Form Guide,2025-08-03,10,11,14:40,7 f,HCP C3,"$53,885"
,Seoul Form Guide,2025-08-03,11,11,15:15,1 ¼ m,OPEN,"$502,940"
,Seoul Form Guide,2025-08-03,12,11,15:50,6 f,HCP C2,"$64,663"
,Seoul Form Guide,2025-08-03,13,10,16:25,1 m,HCP C4,"$43,108"
,Seoul Form Guide,2025-08-03,14,10,17:00,1 m,HCP C1,"$79,033"
,Busan Form Guide | Today,2025-08-09,1,8,21:35,5 f,COND A C6,"$32,331"
,Busan Form Guide | Today,2025-08-09,2,10,22:05,6 f,COND A C6,"$21,553"
,Busan Form Guide | Today,2025-08-09,3,8,23:20,6 ½ f,COND A C6,"$21,553"
,Busan Form Guide | Today,2025-08-09,4,10,12:25,6 ½ f,HCP C5,"$32,331"
,Busan Form Guide | Today,2025-08-09,5,10,13:30,6 f,HCP C5,"$32,331"
,Busan Form Guide | Today,2025-08-09,6,10,14:40,1 m,HCP C5,"$32,331"
,Busan Form Guide | Today,2025-08-09,7,10,15:50,1 m,HCP C5,"$32,331"
,Busan Form Guide | Today,2025-08-09,8,9,16:25,7 f,HCP C4,"$43,108"
,Busan Form Guide | Today,2025-08-09,9,11,17:00,1 ⅛ m,HCP C3,"$53,885"
,Busan Form Guide,2025-08-10,1,10,21:35,6 f,COND A C6,"$32,331"
,Busan Form Guide,2025-08-10,2,10,22:05,6 ½ f,COND A C6,"$21,553"
,Busan Form Guide,2025-08-10,3,8,22:35,7 f,COND A C6,"$21,553"
,Busan Form Guide,2025-08-10,4,11,23:15,7 f,HCP C5,"$32,331"
,Busan Form Guide,2025-08-10,5,9,23:55,6 ½ f,HCP C5,"$32,331"
,Busan Form Guide,2025-08-10,6,8,12:25,6 f,HCP C5,"$32,331"
,Busan Form Guide,2025-08-10,7,8,12:55,1 ⅛ m,HCP C5,"$32,331"
,Busan Form Guide,2025-08-10,8,8,13:30,1 ⅛ m,HCP C5,"$32,331"
,Busan Form Guide,2025-08-10,9,9,14:05,1 ⅛ m,HCP C4,"$43,108"
,Busan Form Guide,2025-08-10,10,10,14:40,6 f,HCP C4,"$43,108"
,Busan Form Guide,2025-08-10,11,11,15:15,6 f,HCP C3,"$53,885"
,Busan Form Guide,2025-08-10,12,11,15:50,7 f,HCP C3,"$53,885"
,Busan Form Guide,2025-08-10,13,9,16:25,1 m,HCP C4,"$43,108"
,Busan Form Guide,2025-08-10,14,10,17:00,1 m,HCP C2,"$64,663"
,Kawasaki Form Guide,2025-08-04,1,8,14:00,7 f,3 COND,"$15,234"
,Kawasaki Form Guide,2025-08-04,2,10,14:30,7 ½ f,3 COND,"$17,773"
,Kawasaki Form Guide,2025-08-04,3,10,15:00,7 f,2 COND,"$27,930"
,Kawasaki Form Guide,2025-08-04,4,12,15:30,4 ½ f,3 COND,"$17,773"
,Kawasaki Form Guide,2025-08-04,5,9,16:00,7 f,C3,"$10,156"
,Kawasaki Form Guide,2025-08-04,6,11,16:30,7 f,C3,"$10,156"
,Kawasaki Form Guide,2025-08-04,7,11,17:00,4 ½ f,C2,"$12,695"
,Kawasaki Form Guide,2025-08-04,8,12,17:30,7 ½ f,C3,"$10,156"
,Kawasaki Form Guide,2025-08-04,9,11,18:05,4 ½ f,C1,"$15,234"
,Kawasaki Form Guide,2025-08-04,10,7,18:40,1 ¼ m,B2B3,"$34,277"
,Kawasaki Form Guide,2025-08-04,11,12,19:15,4 ½ f,B1B2,"$34,277"
,Kawasaki Form Guide,2025-08-04,12,12,19:50,7 ½ f,B3,"$30,469"
,Kawasaki Form Guide,2025-08-05,1,9,14:00,7 f,3 COND,"$17,773"
,Kawasaki Form Guide,2025-08-05,2,9,14:30,7 f,2 COND,"$25,391"
,Kawasaki Form Guide,2025-08-05,3,9,15:00,4 ½ f,C3,"$10,156"
,Kawasaki Form Guide,2025-08-05,4,8,15:30,7 f,2 COND,"$31,739"
,Kawasaki Form Guide,2025-08-05,5,12,16:00,7 f,C3,"$15,234"
,Kawasaki Form Guide,2025-08-05,6,10,16:30,7 ½ f,C3,"$15,234"
,Kawasaki Form Guide,2025-08-05,7,8,17:00,7 f,C2,"$12,695"
,Kawasaki Form Guide,2025-08-05,8,11,17:30,7 f,C2,"$12,695"
,Kawasaki Form Guide,2025-08-05,9,9,18:05,7 ½ f,C2,"$12,695"
,Kawasaki Form Guide,2025-08-05,10,6,18:40,1 ¼ m,4 COND,"$76,173"
,Kawasaki Form Guide,2025-08-05,11,9,19:15,7 ½ f,B2B3,"$34,277"
,Kawasaki Form Guide,2025-08-05,12,9,19:50,4 ½ f,C1,"$15,234"
,Mombetsu,2025-08-06,1,12,13:25,5 f,2 COND,"$5,679"
,Mombetsu,2025-08-06,2,12,13:55,6 f,2 COND,"$5,679"
,Mombetsu,2025-08-06,3,11,14:25,5 f,2 COND,"$13,630"
,Mombetsu,2025-08-06,4,7,15:05,1 ¹⁄₁₆ m,3 C4,"$4,543"
,Mombetsu,2025-08-06,5,7,15:35,5 ½ f,2 COND,"$28,398"
,Mombetsu,2025-08-06,6,12,16:05,6 f,C1,"$6,247"
,Mombetsu,2025-08-06,7,12,16:40,5 f,C3,"$6,247"
,Mombetsu,2025-08-06,8,12,17:15,1 ¹⁄₁₆ m,B4,"$7,383"
,Mombetsu,2025-08-06,9,12,17:50,6 f,C4,"$6,247"
,Mombetsu,2025-08-06,10,12,18:25,5 f,C4,"$6,247"
,Mombetsu,2025-08-06,11,8,19:00,5 f,C1,"$6,247"
,Mombetsu,2025-08-06,12,12,19:35,5 f,B3,"$7,383"
,Kawasaki Form Guide,2025-08-06,1,11,14:00,4 ½ f,3 COND,"$15,234"
,Kawasaki Form Guide,2025-08-06,2,8,14:30,7 ½ f,2 COND,"$38,086"
,Kawasaki Form Guide,2025-08-06,3,9,15:00,4 ½ f,C3,"$10,156"
,Kawasaki Form Guide,2025-08-06,4,8,15:30,7 f,C2,"$12,695"
,Kawasaki Form Guide,2025-08-06,5,9,16:00,7 ½ f,C2,"$12,695"
,Kawasaki Form Guide,2025-08-06,6,11,16:30,7 f,3 C1,"$31,739"
,Kawasaki Form Guide,2025-08-06,7,10,17:00,7 ½ f,3 C1,"$31,739"
,Kawasaki Form Guide,2025-08-06,8,9,17:30,7 f,C1,"$22,851"
,Kawasaki Form Guide,2025-08-06,9,9,18:05,7 ½ f,C1,"$22,851"
,Kawasaki Form Guide,2025-08-06,10,11,18:40,7 ½ f,C1,"$22,851"
,Kawasaki Form Guide,2025-08-06,11,10,19:15,1 ¼ m,3 COND,"$60,136"
,Kawasaki Form Guide,2025-08-06,12,9,19:50,4 ½ f,B3,"$26,660"
,Mombetsu,2025-08-07,1,10,13:25,7 ½ f,2 COND,"$5,679"
,Mombetsu,2025-08-07,2,11,13:55,5 f,2 COND,"$5,679"
,Mombetsu,2025-08-07,3,10,14:30,6 f,2 COND,"$13,630"
,Mombetsu,2025-08-07,4,9,15:05,5 f,2 COND,"$28,398"
,Mombetsu,2025-08-07,5,11,15:35,6 f,3 C4,"$4,543"
,Mombetsu,2025-08-07,6,12,16:05,5 f,3 C4,"$4,543"
,Mombetsu,2025-08-07,7,9,16:40,5 f,3 C4,"$4,543"
,Mombetsu,2025-08-07,8,12,17:15,5 f,C3,"$6,247"
,Mombetsu,2025-08-07,9,7,17:50,1 ¹⁄₁₆ m,C2,"$6,247"
,Mombetsu,2025-08-07,10,12,18:25,6 f,C3,"$6,247"
,Mombetsu,2025-08-07,11,10,19:00,6 f,B3,"$7,383"
,Mombetsu,2025-08-07,12,7,19:35,6 f,2 COND,"$45,436"
,Kawasaki Form Guide,2025-08-07,1,12,14:00,1 m,3 COND,"$25,391"
,Kawasaki Form Guide,2025-08-07,2,10,14:30,7 f,C2,"$19,043"
,Kawasaki Form Guide,2025-08-07,3,11,15:00,7 f,C2,"$19,043"
,Kawasaki Form Guide,2025-08-07,4,8,15:30,4 ½ f,2 COND,"$53,321"
,Kawasaki Form Guide,2025-08-07,5,8,16:00,4 ½ f,2 COND,"$53,321"
,Kawasaki Form Guide,2025-08-07,6,10,16:30,7 f,C1,"$15,234"
,Kawasaki Form Guide,2025-08-07,7,12,17:03,7 ½ f,C1,"$15,234"
,Kawasaki Form Guide,2025-08-07,8,9,17:32,7 ½ f,C2,"$19,043"
,Kawasaki Form Guide,2025-08-07,9,7,18:05,1 m,B3,"$30,469"
,Kawasaki Form Guide,2025-08-07,10,6,18:40,7 ½ f,A2B1,"$50,782"
,Kawasaki Form Guide,2025-08-07,11,10,19:15,7 f,2 COND,"$60,136"
,Kawasaki Form Guide,2025-08-07,12,14,19:50,1 ¼ m,C1C2,"$22,851"
,Kawasaki Form Guide,2025-08-08,1,6,14:00,7 f,2 COND,"$25,391"
,Kawasaki Form Guide,2025-08-08,2,7,14:30,7 f,2 COND,"$25,391"
,Kawasaki Form Guide,2025-08-08,3,9,15:00,4 ½ f,C2,"$12,695"
,Kawasaki Form Guide,2025-08-08,4,6,15:30,7 f,2 COND,"$53,321"
,Kawasaki Form Guide,2025-08-08,5,8,16:00,7 f,2 COND,"$53,321"
,Kawasaki Form Guide,2025-08-08,6,7,16:30,7 f,3 COND,"$15,234"
,Kawasaki Form Guide,2025-08-08,7,10,17:00,7 ½ f,3 COND,"$17,773"
,Kawasaki Form Guide,2025-08-08,8,12,17:30,7 f,C3,"$10,156"
,Kawasaki Form Guide,2025-08-08,9,14,18:05,7 ½ f,C1,"$15,234"
,Kawasaki Form Guide,2025-08-08,10,11,18:40,7 f,B3,"$30,469"
,Kawasaki Form Guide,2025-08-08,11,8,19:15,1 m,B1B2,"$38,086"
,Kawasaki Form Guide,2025-08-08,12,10,19:50,7 f,C1,"$15,234"
,Tokyo City Keiba,2025-08-10,1,11,15:25,7 f,C3,"$10,156"
,Tokyo City Keiba,2025-08-10,2,7,16:00,7 f,2 COND,"$57,130"
,Tokyo City Keiba,2025-08-10,3,9,16:35,6 f,2 COND,"$57,130"
,Tokyo City Keiba,2025-08-10,4,12,17:10,6 f,3 COND,"$19,043"
,Tokyo City Keiba,2025-08-10,5,8,17:50,1 ⅛ m,3 COND,"$19,043"
,Tokyo City Keiba,2025-08-10,6,12,18:30,1 ⅛ m,C2,"$22,851"
,Tokyo City Keiba,2025-08-10,7,11,19:10,6 f,B1,"$60,938"
,Tokyo City Keiba,2025-08-10,8,12,19:50,7 f,B3,"$48,242"
,Palermo Form Guide,2025-08-11,1,9,13:00,6 ½ f,56 MDN,"$4,262"
,Palermo Form Guide,2025-08-11,2,9,13:30,7 f,3CG MDN,"$8,951"
,Palermo Form Guide,2025-08-11,3,9,14:00,7 f,3FM MDN,"$8,951"
,Palermo Form Guide,2025-08-11,4,13,14:30,5 f,4FM MDN,"$3,196"
,Palermo Form Guide,2025-08-11,5,8,15:00,7 f,3CG MDN,"$8,951"
,Palermo Form Guide,2025-08-11,6,11,15:30,7 f,69FM HCP,"$4,262"
,Palermo Form Guide,2025-08-11,7,8,16:00,5 f,59FM,"$2,628"
,Palermo Form Guide,2025-08-11,8,9,16:30,6 ½ f,56 MDN,"$4,262"
,Palermo Form Guide,2025-08-11,9,5,17:00,6 f,49FM,"$10,742"
,Palermo Form Guide,2025-08-11,10,9,17:30,1 m,5U,"$5,967"
,Palermo Form Guide,2025-08-11,11,12,18:00,7 f,4,"$3,693"
,Palermo Form Guide,2025-08-11,12,16,18:30,7 f,4,"$3,410"
,Tagliacozzo Form Guide,2025-08-03,1,5,22:15,6 ¾ f,3 HANDICAP,"$5,242"
,Tagliacozzo Form Guide,2025-08-03,2,6,22:50,5 f,3U APP HANDICAP,"$5,824"
,Tagliacozzo Form Guide,2025-08-03,3,7,23:25,1 ⁵⁄₁₆ m,3 HANDICAP,"$9,553"
,Tagliacozzo Form Guide,2025-08-03,4,9,12:00,6 ¾ f,2 SELLER,"$5,824"
,Tagliacozzo Form Guide,2025-08-03,5,9,12:35,1 ⁵⁄₁₆ m,3U PREMIERE HANDICAP,"$22,135"
,Tagliacozzo Form Guide,2025-08-03,6,13,13:10,1 m,3U HANDICAP,"$13,979"
,Albenga Form Guide,2025-08-05,1,6,14:18,1 ¼ m,3 STAKES,"$9,319"
,Albenga Form Guide,2025-08-05,2,6,14:43,1 m,2 STAKES,"$8,154"
,Albenga Form Guide,2025-08-05,3,7,15:13,1 m,5U GENTLEMAN DRIVER CLASS F,"$4,659"
,Albenga Form Guide,2025-08-05,4,9,15:38,1 m,4 GENTLEMAN DRIVER CLAIMER,"$4,077"
,Albenga Form Guide,2025-08-05,5,6,16:03,1 m,3 STAKES,"$6,989"
,Albenga Form Guide,2025-08-05,6,6,16:28,1 m,5U CLASS G,"$3,611"
,Albenga Form Guide,2025-08-05,7,6,16:53,1 ¼ m,5U CLASS E,"$5,824"
,Montecatini Form Guide,2025-08-08,1,10,14:43,1 m,5U GENTLEMAN DRIVER CLASS EF,"$5,125"
,Montecatini Form Guide,2025-08-08,2,9,15:08,1 m,4 STAKES,"$4,892"
,Montecatini Form Guide,2025-08-08,3,11,15:33,1 m,5U CLASS G,"$3,261"
,Montecatini Form Guide,2025-08-08,4,15,16:00,1 m,3 MAIDEN,"$5,824"
,Montecatini Form Guide,2025-08-08,5,11,16:28,1 m,5U CLAIMER,"$3,611"
,Montecatini Form Guide,2025-08-08,6,10,16:50,1 m,5U CLASS DE,"$6,407"
,Montecatini Form Guide,2025-08-08,7,9,17:15,1 m,4 STAKES,"$4,659"
,Tagliacozzo Form Guide | Today,2025-08-09,1,5,22:05,1 m,3 SELLER,"$4,659"
,Tagliacozzo Form Guide | Today,2025-08-09,2,5,22:40,1 ⁵⁄₁₆ m,3U APP HANDICAP,"$4,236"
,Tagliacozzo Form Guide | Today,2025-08-09,3,5,23:15,5 f,3 HANDICAP,"$5,242"
,Tagliacozzo Form Guide | Today,2025-08-09,4,5,23:40,1 ³⁄₁₆ m,3 MAIDEN,"$6,989"
,Tagliacozzo Form Guide | Today,2025-08-09,5,8,12:25,1 m,3U HANDICAP,"$4,659"
,Tagliacozzo Form Guide | Today,2025-08-09,6,9,13:00,1 ³⁄₁₆ m,4U SELLER,"$4,659"
,Chile Form Guide,2025-08-02,1,14,12:30,6 f,HCP,"$3,246"
,Chile Form Guide,2025-08-02,2,14,12:55,5 f,MDN,"$4,444"
,Chile Form Guide,2025-08-02,3,9,13:20,5 f,MDN,"$4,444"
,Chile Form Guide,2025-08-02,4,11,13:46,6 f,HCP,"$3,246"
,Chile Form Guide,2025-08-02,5,15,14:11,5 f,MDN,"$4,444"
,Chile Form Guide,2025-08-02,6,7,14:36,5 f,MDN,"$4,562"
,Chile Form Guide,2025-08-02,7,12,15:03,6 f,HCP,"$3,246"
,Chile Form Guide,2025-08-02,8,15,15:28,6 ½ f,MDN,"$5,925"
,Chile Form Guide,2025-08-02,9,10,15:53,6 f,STK ClCd,"$10,076"
,Chile Form Guide,2025-08-02,10,8,16:18,5 f,HCP,"$4,822"
,Chile Form Guide,2025-08-02,11,13,16:46,7 ½ f,STK G3,"$10,465"
,Chile Form Guide,2025-08-02,12,14,17:12,6 f,HCP,"$3,279"
,Chile Form Guide,2025-08-02,13,10,17:38,7 f,MDN,"$6,043"
,Chile Form Guide,2025-08-02,14,14,18:04,1 m,HCP,"$5,527"
,Chile Form Guide,2025-08-02,15,15,18:34,6 f,HCP,"$3,246"
,Chile Form Guide,2025-08-02,16,15,19:02,6 f,HCP,"$3,279"
,Chile Form Guide,2025-08-02,17,14,19:30,6 f,HCP,"$4,427"
,Chile Form Guide,2025-08-02,18,13,20:02,6 f,HCP,"$4,034"
,Chile Form Guide,2025-08-02,19,15,20:31,6 f,HCP,"$3,279"
,Chile Form Guide,2025-08-02,20,14,21:00,6 f,HCP,"$4,247"
,Chile Form Guide,2025-08-07,1,13,12:30,5 f,HCP,"$2,695"
,Chile Form Guide,2025-08-07,2,10,12:55,5 f,MDN,"$4,322"
,Chile Form Guide,2025-08-07,3,10,13:20,6 ½ f,MDN,"$5,763"
,Chile Form Guide,2025-08-07,4,15,13:46,5 f,HCP,"$2,695"
,Chile Form Guide,2025-08-07,5,11,14:11,5 f,MDN,"$4,322"
,Chile Form Guide,2025-08-07,6,10,14:36,5 f,HCP,"$2,695"
,Chile Form Guide,2025-08-07,7,14,15:03,5 f,HCP,"$2,695"
,Chile Form Guide,2025-08-07,8,8,15:28,7 f,MDN,"$5,878"
,Chile Form Guide,2025-08-07,9,9,15:53,5 f,HCP,"$2,695"
,Chile Form Guide,2025-08-07,10,7,16:18,1 ¼ m,STK G3,"$14,335"
,Chile Form Guide,2025-08-07,11,12,16:46,5 f,HCP,"$2,695"
,Chile Form Guide,2025-08-07,12,11,17:12,6 f,STK PR,"$6,070"
,Chile Form Guide,2025-08-07,13,12,17:38,5 f,HCP,"$3,589"
,Chile Form Guide,2025-08-07,14,13,18:04,7 f,HCP,"$4,625"
,Chile Form Guide,2025-08-07,15,15,18:34,5 f,HCP,"$3,062"
,Chile Form Guide,2025-08-07,16,14,19:02,5 f,HCP,"$3,062"
,Chile Form Guide,2025-08-07,17,13,19:30,5 f,HCP,"$4,068"
,Chile Form Guide,2025-08-07,18,14,20:02,5 f,HCP,"$3,062"
,Chile Form Guide,2025-08-07,19,13,20:31,5 f,HCP,"$4,099"
,Chile Form Guide,2025-08-07,20,14,21:00,5 f,HCP,"$3,062"
,Chile Form Guide | Today,2025-08-09,1,15,12:30,6 f,HCP,"$3,158"
,Chile Form Guide | Today,2025-08-09,2,11,12:55,5 f,MDN,"$4,322"
,Chile Form Guide | Today,2025-08-09,3,9,13:20,7 ½ f,MDN,"$5,878"
,Chile Form Guide | Today,2025-08-09,4,14,13:46,6 f,HCP,"$3,158"
,Chile Form Guide | Today,2025-08-09,5,12,14:11,6 f,MDN,"$5,763"
,Chile Form Guide | Today,2025-08-09,6,11,14:36,7 f,HCP,"$3,812"
,Chile Form Guide | Today,2025-08-09,7,15,15:03,6 f,HCP,"$3,158"
,Chile Form Guide | Today,2025-08-09,8,14,15:28,7 f,HCP,"$3,604"
,Chile Form Guide | Today,2025-08-09,9,10,15:53,6 f,STK ClCd,"$9,800"
,Chile Form Guide | Today,2025-08-09,10,5,16:17,1 ³⁄₁₆ m,HCP,"$7,018"
,Chile Form Guide | Today,2025-08-09,11,15,16:46,6 f,HCP,"$3,158"
,Chile Form Guide | Today,2025-08-09,12,10,17:11,7 f,STK CH,"$7,609"
,Chile Form Guide | Today,2025-08-09,13,13,17:37,6 f,HCP,"$3,158"
,Chile Form Guide | Today,2025-08-09,14,14,18:03,6 f,HCP,"$3,924"
,Chile Form Guide | Today,2025-08-09,15,15,18:34,6 f,HCP,"$3,190"
,Chile Form Guide | Today,2025-08-09,16,15,19:02,6 f,HCP,"$3,190"
,Chile Form Guide | Today,2025-08-09,17,14,19:30,7 f,HCP,"$5,870"
,Chile Form Guide | Today,2025-08-09,18,15,20:02,6 f,HCP,"$4,131"
,Chile Form Guide | Today,2025-08-09,19,15,20:31,6 f,HCP,"$3,924"
,Chile Form Guide | Today,2025-08-09,20,14,21:00,6 f,HCP,"$4,307"
,Taree Super Track Form Guide,2025-08-02,1,8,18:06,328y,Maiden,
,Taree Super Track Form Guide,2025-08-02,2,8,18:23,328y,Maiden,
,Taree Super Track Form Guide,2025-08-02,3,8,18:38,328y,Maiden,
,Taree Super Track Form Guide,2025-08-02,4,8,18:54,328y,5th Grade,
,Taree Super Track Form Guide,2025-08-02,5,8,19:29,328y,5th Grade,
,Taree Super Track Form Guide,2025-08-02,6,7,19:45,328y,5th Grade,
,Taree Super Track Form Guide,2025-08-02,7,8,20:00,328y,4th/5th Grade,
,Taree Super Track Form Guide,2025-08-02,8,8,20:17,328y,NG1-4,
,Taree Super Track Form Guide,2025-08-02,9,7,20:37,328y,3rd/4th Grade,
,Taree Super Track Form Guide,2025-08-02,10,8,20:52,328y,5th Grade,
,Taree Super Track Form Guide,2025-08-02,11,8,21:07,328y,5th Grade,
,Angle Park Form Guide,2025-08-02,1,6,18:41,374y,Maiden,
,Angle Park Form Guide,2025-08-02,2,5,18:57,374y,Maiden,
,Angle Park Form Guide,2025-08-02,3,6,19:17,374y,TG1-4W,
,Angle Park Form Guide,2025-08-02,4,6,19:36,374y,TG1-4W,
,Angle Park Form Guide,2025-08-02,5,5,19:51,374y,TG1-4W,
,Angle Park Form Guide,2025-08-02,6,6,20:07,374y,TG1-4W,
,Angle Park Form Guide,2025-08-02,7,5,20:23,374y,TG1-4W,
,Angle Park Form Guide,2025-08-02,8,6,20:40,374y,Other,
,Angle Park Form Guide,2025-08-02,9,6,20:55,374y,Other,
,Angle Park Form Guide,2025-08-02,10,6,21:10,374y,Other,
,Manukau Form Guide,2025-08-03,1,7,20:52,347y,C1,"$1,715"
,Manukau Form Guide,2025-08-03,2,6,21:15,347y,C0,"$1,656"
,Manukau Form Guide,2025-08-03,3,7,21:38,347y,C1,"$1,715"
,Manukau Form Guide,2025-08-03,4,6,22:00,576y,C1,"$2,425"
,Manukau Form Guide,2025-08-03,5,7,22:23,347y,C2,"$1,775"
,Manukau Form Guide,2025-08-03,6,5,22:46,576y,C2/3,"$2,839"
,Manukau Form Guide,2025-08-03,7,7,23:03,347y,C2/3,"$1,893"
,Manukau Form Guide,2025-08-03,8,7,23:26,347y,C4/5,"$2,603"
,Manukau Form Guide,2025-08-03,9,5,23:50,576y,C4/5,"$3,727"
,Manukau Form Guide,2025-08-03,10,7,12:14,347y,C4,"$2,071"
,Healesville Form Guide,2025-08-03,1,7,21:19,382y,Maiden Heat,
,Healesville Form Guide,2025-08-03,2,8,21:41,382y,Maiden Heat,
,Healesville Form Guide,2025-08-03,3,8,21:57,328y,Grade 5,
,Healesville Form Guide,2025-08-03,4,8,22:12,382y,Grade 5,
,Healesville Form Guide,2025-08-03,5,7,22:32,382y,Grade 5,
,Healesville Form Guide,2025-08-03,6,6,22:52,382y,Free For All,
,Healesville Form Guide,2025-08-03,7,8,23:12,382y,Grade 5,
,Healesville Form Guide,2025-08-03,8,8,23:32,382y,Grade 5,
,Healesville Form Guide,2025-08-03,9,7,23:52,382y,Restricted Win,
,Healesville Form Guide,2025-08-03,10,6,12:12,328y,Mixed 6/7,
,Healesville Form Guide,2025-08-03,11,8,12:32,328y,Mixed 4/5,
,Healesville Form Guide,2025-08-03,12,8,12:52,328y,Grade 5,
,Capalaba Form Guide,2025-08-03,1,4,21:50,400y,Maiden,
,Capalaba Form Guide,2025-08-03,2,6,22:09,400y,Maiden,
,Capalaba Form Guide,2025-08-03,3,7,22:26,400y,Maiden,
,Capalaba Form Guide,2025-08-03,4,8,22:43,400y,6th Grade,
,Capalaba Form Guide,2025-08-03,5,8,23:05,400y,M5,
,Capalaba Form Guide,2025-08-03,6,8,23:24,400y,5th Grade,
,Capalaba Form Guide,2025-08-03,7,8,23:39,400y,5th Grade,
,Capalaba Form Guide,2025-08-03,8,8,12:04,400y,5th Grade,
,Capalaba Form Guide,2025-08-03,9,6,12:19,400y,M5,
,Mt Gambier Form Guide,2025-08-03,1,5,22:29,437y,Maiden/6th Grade,
,Mt Gambier Form Guide,2025-08-03,2,6,22:49,333y,Maiden,
,Mt Gambier Form Guide,2025-08-03,3,5,23:09,333y,6th Grade,
